"","Provincia","Estadillo","Clase","Subclase","nArbol","OrdenIf3","OrdenIf2","Rumbo","Distanci","DRed","Especie","Dn1","Dn2","Ht","Calidad","Forma","ParEsp","Agente","Import","Elemento","Compara","INVENTORY_ID","PLOT_ID","TREE_ID","IFN3_ID"
"251",9,2483,"A","1",7,7,3,323,9.2,NA,26,196,199,9.5,3,2,NA,312,1,"9","X","IFN3","9_2483","IFN3_9_2483_A_1_7","9_2483_A_1"
"252",9,2483,"A","1",8,8,4,335,13.6,NA,26,258,250,9.5,4,2,NA,312,2,"9","X","IFN3","9_2483","IFN3_9_2483_A_1_8","9_2483_A_1"
"253",9,2483,"A","1",9,9,0,352,6.5,NA,26,138,134,7.5,2,2,NA,100,NA,"","X","IFN3","9_2483","IFN3_9_2483_A_1_9","9_2483_A_1"
"254",9,2483,"A","1",10,10,5,362,11.2,NA,26,234,240,8.5,4,2,NA,312,2,"9","X","IFN3","9_2483","IFN3_9_2483_A_1_10","9_2483_A_1"
"255",9,2483,"A","1",11,11,6,374,8.8,NA,26,186,176,8.5,2,2,NA,100,NA,"","X","IFN3","9_2483","IFN3_9_2483_A_1_11","9_2483_A_1"
"256",9,2483,"A","1",12,12,0,374,2.5,NA,25,88,91,5,2,3,NA,100,NA,"","X","IFN3","9_2483","IFN3_9_2483_A_1_12","9_2483_A_1"
"257",9,2537,"A","3E",1,1,0,27,11,NA,24,354,368,14,2,2,41,100,NA,"","E","IFN3","9_2537","IFN3_9_2537_A_3E_1","9_2537_A_3E"
"258",9,2537,"A","3E",2,2,0,31,7.8,NA,24,312,304,13,2,2,NA,100,NA,"","E","IFN3","9_2537","IFN3_9_2537_A_3E_2","9_2537_A_3E"
"259",9,2537,"A","3E",3,3,0,49,7.3,NA,24,332,337,13,2,2,NA,100,NA,"","E","IFN3","9_2537","IFN3_9_2537_A_3E_3","9_2537_A_3E"
"260",9,2537,"A","3E",4,4,0,106,14.2,NA,24,322,314,12,2,2,NA,100,NA,"","E","IFN3","9_2537","IFN3_9_2537_A_3E_4","9_2537_A_3E"
"261",9,2561,"A","1",1,1,1,17,9.6,NA,26,162,164,7.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_1","9_2561_A_1"
"262",9,2561,"A","1",2,2,2,21,11.9,NA,26,277,275,10,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_2","9_2561_A_1"
"263",9,2561,"A","1",3,3,3,31,8.4,NA,26,196,194,8.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_3","9_2561_A_1"
"264",9,2561,"A","1",4,4,4,38,7.2,NA,26,200,186,8,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_4","9_2561_A_1"
"266",9,2561,"A","1",6,5,0,53,13.5,NA,26,236,233,9.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_6","9_2561_A_1"
"267",9,2561,"A","1",7,888,6,84,6.7,NA,26,232,216,0,6,NA,NA,312,3,"9","X","IFN3","9_2561","IFN3_9_2561_A_1_7","9_2561_A_1"
"270",9,2561,"A","1",10,6,0,112,14.6,NA,26,266,260,11.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_10","9_2561_A_1"
"272",9,2561,"A","1",12,7,0,126,13.1,NA,26,240,239,11.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_12","9_2561_A_1"
"273",9,2561,"A","1",13,888,10,131,9.3,NA,26,200,195,0,6,NA,NA,322,3,"9","X","IFN3","9_2561","IFN3_9_2561_A_1_13","9_2561_A_1"
"274",9,2561,"A","1",14,8,0,139,10.6,NA,26,238,246,8.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_14","9_2561_A_1"
"275",9,2561,"A","1",15,9,11,140,4.8,NA,26,228,231,9.5,3,5,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_15","9_2561_A_1"
"276",9,2561,"A","1",16,10,12,165,3.2,NA,26,202,212,9,2,5,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_16","9_2561_A_1"
"277",9,2561,"A","1",17,888,13,192,6.2,NA,26,128,127,0,6,NA,NA,311,3,"9","X","IFN3","9_2561","IFN3_9_2561_A_1_17","9_2561_A_1"
"278",9,2561,"A","1",18,11,0,200,10.7,NA,26,229,230,8.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_18","9_2561_A_1"
"279",9,2561,"A","1",19,12,0,229,11.1,NA,26,256,245,10.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_19","9_2561_A_1"
"280",9,2561,"A","1",20,13,14,244,3.8,NA,26,242,242,11.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_20","9_2561_A_1"
"281",9,2561,"A","1",21,14,15,257,7.3,NA,26,250,247,10,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_21","9_2561_A_1"
"282",9,2561,"A","1",22,15,16,275,5.3,NA,26,251,259,10.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_22","9_2561_A_1"
"283",9,2561,"A","1",23,16,0,295,13.8,NA,26,253,240,11.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_23","9_2561_A_1"
"284",9,2561,"A","1",24,17,17,313,11.6,NA,26,256,242,10.5,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_24","9_2561_A_1"
"285",9,2561,"A","1",25,18,0,317,14.7,NA,26,252,236,9.5,2,2,NA,100,NA,"","X","IFN3","9_2561","IFN3_9_2561_A_1_25","9_2561_A_1"
"286",9,2561,"A","1",26,19,18,367,4.6,NA,26,244,242,9,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_26","9_2561_A_1"
"287",9,2561,"A","1",27,20,19,377,8.4,NA,26,279,285,10,3,2,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_27","9_2561_A_1"
"288",9,2561,"A","1",28,21,20,379,10.8,NA,26,334,331,9,3,5,NA,312,1,"3","X","IFN3","9_2561","IFN3_9_2561_A_1_28","9_2561_A_1"
